,0,1
497,-4.811537,-10.051425
498,-0.59925747,-9.910382
499,-6.4154153,-11.692456
500,-5.471766,-5.342404
501,-1.4380016,-11.784655
502,-4.1932306,-9.171979
503,-6.729749,-9.357703
504,-4.1667414,-10.158206
505,-5.158771,-11.806431
506,-3.0237732,-5.989918
507,-5.494982,-5.3674836
508,-3.3890438,-10.577434
509,-6.7095385,-5.7448945
510,-1.4614865,-11.753825
511,-4.717839,-5.8137755
512,-1.2456471,-8.4600935
513,0.32628217,-10.631797
514,-0.3712279,-9.632241
515,-6.306995,-11.70038
516,-8.034336,-8.437753
517,-2.140561,-9.270462
518,-5.4498916,-10.588582
519,-3.0987554,-8.073845
520,-1.4339834,-8.708422
521,-4.273716,-6.0346956
522,-4.9510493,-9.264423
523,-3.1082997,-6.957186
524,-5.617987,-11.70011
525,-3.2009454,-6.8398376
526,-5.011967,-11.1777525
527,-5.5565515,-10.568836
528,-6.8348017,-8.478857
529,-4.704168,-9.591806
530,-8.406573,-11.15153
531,-5.229197,-11.575251
532,-5.2142444,-11.035667
533,-6.629363,-5.7897134
534,-8.08916,-8.412135
535,-3.443564,-11.509528
536,-4.2256575,-9.032669
537,-5.9790516,-9.932008
538,0.37460658,-10.689335
539,-6.0524864,-9.238745
540,-4.8558345,-5.8757
541,-2.1842954,-9.342054
542,-4.7978244,-9.394973
543,0.3245692,-10.658731
544,-4.5473394,-9.654829
545,-3.3859024,-10.534452
546,-8.304431,-9.991398
547,-6.074547,-12.23521
548,-4.307464,-9.444961
549,-5.714861,-11.690474
550,-5.116843,-8.850748
551,-5.5339966,-10.443156
552,-8.2533455,-10.002322
553,-4.6733365,-9.961978
554,-5.4744034,-5.329431
555,-8.503362,-6.7573853
556,-3.5000849,-10.505116
557,-3.8388443,-6.694588
558,0.23565724,-10.563448
559,-6.6542506,-5.759307
560,-1.708251,-11.061333
561,-6.0521193,-12.210038
562,-5.716073,-11.663122
563,-7.9665847,-8.4798355
564,0.24546885,-10.589374
565,-5.347927,-5.4123864
566,-5.0506773,-11.521828
567,-4.880851,-10.646987
568,-3.5155098,-10.505758
569,-4.89594,-5.747768
570,-6.5651264,-9.8237505
571,-4.0759835,-9.027907
572,-5.4105783,-10.680983
573,-4.9481797,-9.565271
574,-1.4296452,-11.796744
575,-6.560262,-9.849026
576,-4.6617746,-9.992307
577,-4.608323,-10.579618
578,-6.5732274,-9.827888
579,-6.689054,-5.784879
580,-8.410781,-11.102184
581,-8.229407,-10.013717
582,-0.36110392,-9.744209
583,-4.992029,-9.488109
584,-5.0714054,-11.747088
585,-6.33212,-4.592521
586,-6.7950087,-8.525995
587,-1.1611576,-7.0709662
588,-5.007596,-11.435949
589,-6.1169043,-9.598702
590,-4.7499895,-10.826627
591,-5.9946547,-12.1577015
592,-3.1080022,-7.004087
593,-3.8915045,-10.716865
594,-8.279789,-9.936912
595,-4.4342327,-10.298541
596,-4.9178643,-5.8066254
597,-4.068291,-7.367661
598,-6.6581593,-5.786645
599,-3.9586742,-10.828912
600,0.35489425,-10.631362
601,-8.232009,-9.963238
602,-1.8037065,-11.213062
603,-5.675418,-10.311147
604,-6.294232,-4.59493
605,-3.5552588,-10.900311
606,-6.472997,-5.830214
607,-4.9473214,-11.428152
608,-3.8669226,-11.080803
609,-7.9126024,-8.368874
610,0.414202,-10.615029
611,-3.1887302,-11.710839
612,-6.6711183,-5.792114
613,-8.2944975,-10.968096
614,-5.7443075,-11.585608
615,-5.3711767,-10.561392
616,-5.463669,-5.307291
617,-4.2162204,-10.556123
618,-4.6920977,-11.387266
619,0.13472866,-10.600312
620,-5.769148,-11.631716
621,-5.5524907,-10.6504965
622,-4.787378,-10.053631
623,-6.3693085,-11.677962
624,-6.7744145,-9.435983
625,-6.094738,-9.24497
626,-5.5752525,-10.627935
627,-4.2364683,-9.567713
628,-5.1475224,-11.774571
629,-0.49178487,-9.888272
630,-6.655103,-5.7645664
631,-4.896498,-5.815196
632,-4.398013,-9.927433
633,-5.481625,-5.346543
634,0.24750854,-10.597607
635,-3.1832378,-11.742549
636,-4.8810554,-11.329399
637,-7.031462,-8.374145
638,-4.889092,-9.976873
639,-5.6283712,-11.018803
640,-6.5942426,-9.894131
641,-5.3968425,-9.823952
642,-6.6507444,-5.807132
643,-4.700054,-11.27218
644,-5.441545,-7.4649205
645,-3.9706125,-9.569066
646,-7.243858,-9.709338
647,0.25979897,-10.611281
648,-4.318939,-5.3254905
649,-6.056554,-11.631222
650,-5.4812636,-5.335521
651,-8.246489,-9.994942
652,-8.231576,-9.992193
653,-5.6473675,-10.528712
654,-6.5573697,-9.797624
655,-6.0443535,-12.241971
656,-8.46353,-6.7497444
657,-8.310148,-6.034162
658,-5.683891,-11.640339
659,-6.609115,-9.806583
660,-1.1698653,-10.958707
